"county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","cases_per_10000","deaths_per_10000","death_per_case"
"Calhoun County",1361,13,21821,10976,10845,9426,567,1079,10503,13,0,58788,3310,2591,1338,494,1449,342,37.7,3333,3833,4151,3157,3737,4220,651,9676,17978,299,87,-8,6,-23.0612244897959,-11.0555555555556,-19,6,623.711103982402,5.95756381467394,0.00955180014695077
"Callahan County",931,28,13660,6650,7010,11862,201,33,1249,8,0,40945,3027,1620,381,263,593,109,43.3,1866,2014,2987,1901,2080,3371,187,5128,9420,272,40,-17.2477876106195,-10.86,-23.0612244897959,-6,-13,8.93693693693694,681.551976573939,20.497803806735,0.0300751879699248
"Cameron County",32698,1126,420201,203657,216544,39240,1560,2706,375256,514,150,36095,75993,30980,10125,5090,24973,9797,31.4,77956,73638,56451,75495,77670,68911,13375,153938,287034,3654,2034,-28,-17,-34,-50,-35,11,778.151408492602,26.7966996746795,0.0344363569637287
"Camp County",969,32,12670,6215,6455,7168,2140,40,3034,49,0,41811,2737,1355,452,186,953,334,36.8,2004,1981,2470,1858,2176,2637,344,5274,9934,187,6,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-23,8.93693693693694,764.798737174428,25.2565114443567,0.0330237358101135
"Carson County",331,11,6033,2888,3145,5215,39,32,586,23,0,67010,796,892,359,245,241,9,41.1,843,925,1220,927,1027,1317,57,2896,5414,92,6,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-14,8.93693693693694,548.649096635173,18.2330515498094,0.0332326283987915
"Cass County",1499,59,30118,14599,15519,23015,5106,128,1306,4,2,41432,6812,3439,1132,428,1782,337,42.9,4202,4531,6347,3860,4894,7357,941,11991,22280,237,71,-4,-10.86,-23.0612244897959,-5,-13,7,497.709011222525,19.5896141842088,0.0393595730486991
"Castro County",832,22,7891,3958,3933,2595,54,93,5039,6,10,44643,1399,704,225,134,507,105,34.4,1424,1244,1365,1408,1235,1380,144,3289,5872,128,77,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-14,8.93693693693694,1054.36573311367,27.8798631352173,0.0264423076923077
"Chambers County",3431,13,39283,19679,19604,26720,3154,506,8396,42,0,74368,4911,3302,2567,2540,1650,385,35.4,6609,7284,6398,6149,7593,6261,1168,16713,31650,347,150,-17,-12,-23.0612244897959,-17,-24,9,873.405798946109,3.3093195529873,0.00378898280384727
"Cherokee County",3491,92,51594,26307,25287,31603,6991,302,11605,264,12,44294,9903,4952,1916,1114,3083,847,38,8017,9479,9776,7295,8607,10209,1325,20526,38298,546,403,-12,-6,-23.0612244897959,-11.0555555555556,-20,10,676.629065395201,17.8315307981548,0.0263534803781152
"Childress County",1292,13,7064,3933,3131,4525,512,102,1536,68,0,40432,1349,670,167,96,746,129,32.8,679,2221,1099,924,1047,1221,138,2515,4782,68,23,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-12,8.93693693693694,1828.99207248018,18.4031710079275,0.010061919504644
"Clay County",874,13,10369,5184,5185,9370,56,29,587,126,0,46863,2142,1092,557,285,287,130,46,1322,1569,2483,1194,1594,2657,337,4373,7820,191,108,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-11,8.93693693693694,842.897097116405,12.5373710097406,0.0148741418764302
"Coleman County",579,20,8422,4282,4140,6512,231,70,1465,64,0,40804,2225,780,240,225,650,151,46.6,999,1377,2145,993,1109,2235,177,3310,6230,81,25,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-16,8.93693693693694,687.485157919734,23.7473284255521,0.0345423143350604
"Collin County",64721,483,914075,448915,465160,540387,84259,123495,137871,2858,2377,90124,83786,94461,67211,78447,86808,20174,36.5,141496,186343,130038,135506,194385,143653,21074,474671,836451,39929,3796,-26,-15,-20,-37,-44,18,708.049120695785,5.28403030385909,0.00746280187265339
"Colorado County",1251,17,20913,10487,10426,11918,2727,14,6045,30,0,50241,3777,2276,963,587,1012,112,43.4,2983,3137,4763,2736,3102,5006,281,9491,17832,330,93,-17.2477876106195,-10.86,-23.0612244897959,-11,-16,8.93693693693694,598.192511834744,8.12891502892937,0.0135891286970424
"Comal County",7314,190,129100,63732,65368,88661,2547,1344,34565,124,132,73655,16004,14870,8258,8121,8766,2111,42.2,17113,22145,26741,16544,21997,28904,2354,59833,105429,4480,939,-20,2,-46,-10,-29,11,566.537567776917,14.7172734314485,0.0259775772491113
"Comanche County",1118,36,13492,6710,6782,9504,90,81,3677,62,1,42419,2950,1529,495,133,646,119,44.4,1944,1910,3168,1649,2074,3292,203,5454,9916,206,145,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-20,8.93693693693694,828.639193596205,26.6824785057812,0.0322003577817531
"Cooke County",2806,48,39064,19358,19706,29844,976,337,6774,259,25,60027,6573,4834,2340,1438,3396,642,40.5,5560,6571,8110,5153,6807,8385,1023,18724,33626,843,285,-15,-4,-23.0612244897959,-11.0555555555556,-22,7,718.308416956789,12.2875281589187,0.0171062009978617
"Coryell County",4312,45,75818,37921,37897,45085,10391,1338,13459,456,25,50865,10959,7886,2635,944,7275,1380,31.2,11576,18626,8264,10203,18208,10235,2568,23306,53322,1408,2260,-27,-7,-38,-11.0555555555556,-19,8,568.730380648395,5.93526603181303,0.0104359925788497
"Crane County",487,11,4836,2515,2321,1591,201,0,3036,3,0,63935,550,534,271,124,204,62,32.1,946,922,679,788,806,785,55,2023,3849,8,15,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-33,8.93693693693694,1007.0306038048,22.7460711331679,0.0225872689938398
"Crosby County",383,22,5895,2918,2977,2358,218,0,3266,0,0,38674,1329,537,123,75,410,75,37.7,962,953,1077,915,940,1245,209,2519,4586,32,53,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-26,8.93693693693694,649.703138252757,37.3197625106022,0.0574412532637076
"Culberson County",294,4,2257,1162,1095,392,8,6,1821,0,0,33125,494,193,36,12,144,50,41.2,295,378,508,311,353,438,55,974,1722,31,25,-17.2477876106195,-10.86,-23.0612244897959,-11,-22.6871794871795,8.93693693693694,1302.61408949934,17.7226406734603,0.0136054421768707
"Dallam County",466,20,7207,3880,3327,3692,124,63,3157,84,34,45580,1311,802,169,150,762,90,32.1,1483,1414,1034,1031,1378,975,135,3501,6587,79,61,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-23,8.93693693693694,646.5935895657,27.7507978354378,0.0429184549356223
"Dallas County",234625,2453,2552213,1257751,1294462,771258,563220,152045,1011374,4450,4485,53626,420423,271474,110728,103554,332241,95830,33.3,400060,538053,342619,382841,543789,392545,78641,1252101,2266027,52387,18491,-28,-17,-33,-42,-38,13,919.300230819293,9.61126677122952,0.0104549813532232
"Dawson County",1575,59,13095,7274,5821,4752,740,112,7390,52,0,43201,2477,1134,488,240,851,93,33.1,1854,3517,2049,1851,1908,2250,355,4968,8987,139,110,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-20,8.93693693693694,1202.74914089347,45.0553646429935,0.0374603174603175
"DeWitt County",1553,50,20474,10697,9777,11383,1852,1,7062,0,0,50960,3582,1967,870,841,1220,278,41.2,2752,3947,4288,2478,2989,4669,551,7965,14478,302,181,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-16,8.93693693693694,758.523004786559,24.4212171534629,0.0321957501609788
"Deaf Smith County",2418,60,18947,9499,9448,4914,148,94,13574,51,22,51543,2951,2157,812,198,1446,356,31.8,3557,3415,2695,3192,3448,2971,452,8619,16054,186,29,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-21,8.93693693693694,1276.19148150103,31.6672824193804,0.0248138957816377
"Denton County",46272,439,781321,384390,396931,475452,70796,60788,149286,2289,1602,80290,81985,83775,54187,55217,73940,19547,34.9,119052,166643,105803,115245,171870,116286,19739,419189,741492,29032,5486,-21,-13,-4,-45,-42,16,592.227778339504,5.61868937350973,0.00948737897648686
"Dimmit County",904,13,10822,5284,5538,1429,6,21,9362,0,0,31384,2368,718,216,174,609,193,33.5,1817,1814,1888,2120,1674,1868,671,3805,6724,251,115,-17.2477876106195,-10.86,-23.0612244897959,-17,-43,8.93693693693694,835.335427832194,12.0125669931621,0.0143805309734513
"Duval County",1058,32,11434,5891,5543,1025,165,32,10211,0,1,35443,2465,897,230,253,973,98,36.8,1687,2344,2034,1680,1830,2308,622,3950,6888,238,121,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-27,8.93693693693694,925.310477523176,27.9867063145006,0.0302457466918715
"Eastland County",972,23,18278,9337,8941,14595,411,44,2923,76,0,32135,4439,1307,351,340,1047,168,43,2682,2853,4054,2158,2634,4504,419,6910,13104,47,175,-17.2477876106195,-10.86,-23.0612244897959,-16,-14,8.93693693693694,531.786847576321,12.5834336360652,0.0236625514403292
"Ector County",12222,269,155744,78798,76946,53705,6451,1628,91475,283,238,59528,21587,16462,8096,5330,12798,2830,30.3,27676,32645,19633,25937,30403,21957,5349,72576,136142,1559,1183,-29,-21,-23.0612244897959,-28,-31,10,784.749332237518,17.2719334292172,0.022009491081656
"El Paso County",107552,1940,834825,409199,425626,103880,25333,8801,686173,2344,419,43244,148982,74071,25925,14222,73181,19775,31.9,139714,167493,109200,134656,164411,136600,25629,341350,647479,12184,6964,-33,-23,-61,-25,-38,13,1288.31791093942,23.2384032581679,0.0180377863731032
"Ellis County",16403,201,164092,80837,83255,102697,14640,1104,41791,419,156,67371,19305,19224,9234,6962,10835,2793,36,26351,30241,26257,24817,31479,28914,3829,78597,144027,3850,672,-23,-13,-23,-7,-30,10,999.622163176754,12.2492260439266,0.0122538560019509
"Erath County",3470,42,41016,20118,20898,30923,673,314,8439,200,12,47013,7339,4006,1671,811,2761,1441,30,6570,7841,6100,6852,7604,7052,863,19076,34658,842,473,-18,-14,-23.0612244897959,-11.0555555555556,-23,7,846.011312658475,10.2399063779988,0.0121037463976945
"Falls County",1308,22,17289,8135,9154,8909,4196,32,3939,39,0,38834,3339,1441,445,180,787,264,39.2,2204,2937,3256,2179,3618,3626,372,5774,10350,183,212,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-15,8.93693693693694,756.550407773729,12.7248539533808,0.0168195718654434
"Fannin County",2439,66,33787,17846,15941,26834,2189,224,3580,150,21,47875,6192,3738,1385,712,2031,538,41.9,4349,6852,7339,4081,5143,7342,731,13407,24126,727,222,-10,-10.86,-23.0612244897959,-11.0555555555556,-18,8,721.875277473585,19.5341403498387,0.027060270602706
"Fayette County",1447,43,24963,12188,12775,17951,1489,182,5098,13,0,56941,4155,3034,1211,898,1197,194,47.2,3121,3501,6075,3017,3628,6607,182,11626,21540,355,221,-13,-10.86,-23.0612244897959,4,-21,8.93693693693694,579.65789368265,17.2254937307215,0.0297166551485833
"Fort Bend County",44067,439,711421,349697,361724,244432,143866,136748,171949,1351,1091,93645,55133,62635,45866,58697,34855,9820,35.8,115632,136713,104693,110762,144734,111675,19073,339159,621715,16369,1709,-15,-5,8,-17,-35,16,619.422254895484,6.17074840354727,0.0099621031610956
"Franklin County",565,16,10639,5409,5230,8468,481,5,1479,57,0,43967,2166,1114,396,255,559,153,42.9,1644,1664,2286,1255,1706,2508,363,4397,7626,227,63,-17.2477876106195,-10.86,-23.0612244897959,38,-18,8.93693693693694,531.064949713319,15.0390074255099,0.0283185840707965
"Freestone County",988,30,19646,10224,9422,13269,3164,72,2891,30,0,45890,3838,1918,925,551,1175,270,40.6,2709,3811,4043,2537,2891,4362,326,7422,13954,198,118,-17.2477876106195,-10.86,-23.0612244897959,3,-13,8.93693693693694,502.901353965184,15.2702840272829,0.0303643724696356
"Frio County",2148,24,19110,11363,7747,3140,679,120,15006,0,81,37382,2745,1113,435,237,883,169,31.3,3089,5670,2898,2609,2529,2789,544,6859,12908,152,91,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-31,8.93693693693694,1124.01883830455,12.5588697017268,0.0111731843575419
"Gaines County",1302,36,19889,10082,9807,11198,452,91,8066,28,31,58167,2456,1970,841,449,811,56,28.1,4016,3697,2515,3880,3593,2542,381,8134,15096,169,334,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-22,8.93693693693694,654.633214339585,18.1004575393434,0.0276497695852535
"Galveston County",26898,251,321184,158564,162620,186380,40304,10650,76806,832,153,65702,46412,31984,18909,20150,28359,8350,37.6,47113,59968,55738,44551,61347,60383,10391,149076,270213,5410,2948,-15,-9,-1,-5,-30,9,837.463883630567,7.81483511009266,0.00933154881403822
"Gillespie County",1830,32,25939,12655,13284,19614,20,31,5849,3,0,56267,4852,3199,1528,1216,1538,596,50.2,3169,3474,6569,2871,3393,7747,620,11800,20212,724,513,-17,-20,-23.0612244897959,-11.0555555555556,-19,8,705.501368595551,12.3366359535834,0.0174863387978142
"Goliad County",299,9,7510,3778,3732,4401,400,12,2675,0,0,56737,1245,808,441,261,243,68,46.4,1087,1056,1784,853,1188,1885,206,2994,5246,157,154,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-14,8.93693693693694,398.135818908123,11.9840213049268,0.0301003344481605
"Gonzales County",1962,29,20558,10400,10158,8703,1369,36,10293,14,0,47516,3660,2116,685,557,1470,342,36.9,3387,3430,3844,2978,3458,4011,480,8939,16511,275,200,-16,-10.86,-23.0612244897959,-11.0555555555556,-25,8.93693693693694,954.372993481856,14.1064305866329,0.0147808358817533
"Gray County",1773,40,22962,12143,10819,14807,981,162,6412,203,0,48314,4059,2459,1042,411,1134,409,36.7,3400,5033,3985,3316,3588,4270,492,9498,17854,70,135,-3,-10.86,-23.0612244897959,-11.0555555555556,-18,4,772.145283511889,17.4200853584183,0.0225606316976875
"Grayson County",8983,225,126146,61556,64590,96360,6995,1665,15999,1614,217,52683,22664,15358,5716,3812,11246,2969,40.2,18009,21291,24131,16924,22314,27316,4014,57373,101743,3299,1007,-8,-5,-4,-11.0555555555556,-25,8,712.111363023798,17.8364751954085,0.0250473115885562
"Gregg County",8451,221,123402,60366,63036,71967,24790,1679,22449,385,138,47970,23747,13287,5415,3166,12964,4663,35.4,19286,22700,20015,17628,23332,23895,2772,55237,102252,1523,1073,-20,-16,-29,-11.0555555555556,-20,8,684.834929741819,17.9089479911185,0.026150751390368
"Grimes County",1889,52,27358,15070,12288,16051,4259,28,6468,71,13,49745,4518,2841,1018,603,1494,190,40.4,3753,5988,5797,3412,4062,5232,607,10403,19298,399,149,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-20,8,690.474449886688,19.0072373711529,0.0275277924827951
"Guadalupe County",9123,128,150889,74611,76278,77499,10668,2497,56319,304,433,66187,18581,18442,9234,5733,9954,1900,36.7,23365,28948,24170,22368,28886,26881,3268,70169,132068,2843,512,-19,-7,-1,13,-26,11,604.616638721179,8.48305708169582,0.0140304724323139
"Hale County",5668,135,34527,17906,16621,11938,1522,83,20291,23,26,46012,6172,3653,1057,335,2896,788,33,5785,7212,5282,5640,5752,5640,971,14267,26202,446,177,-4,-12,-23.0612244897959,-11.0555555555556,-20,4,1641.61380948243,39.0998349118082,0.023817925194072
"Hall County",353,11,3102,1552,1550,1760,231,15,1060,3,0,31324,868,260,86,30,324,68,43.2,467,453,706,425,460,753,168,1125,2102,10,22,-17.2477876106195,-10.86,-23.0612244897959,-9,-22.6871794871795,8.93693693693694,1137.97549967763,35.4609929078014,0.0311614730878187
"Hamilton County",546,21,8220,4062,4158,6994,55,16,987,58,0,46611,1630,941,336,250,492,42,46.4,1051,1219,1962,1038,1124,2176,114,3584,6248,189,217,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-11,8.93693693693694,664.233576642336,25.5474452554745,0.0384615384615385
"Hardeman County",319,9,3990,1950,2040,2738,277,19,850,16,0,37995,923,455,98,57,221,26,43.6,514,641,843,495,698,922,121,1695,3208,0,9,-17.2477876106195,-10.86,-23.0612244897959,-14,-22.6871794871795,8.93693693693694,799.498746867168,22.5563909774436,0.0282131661442006
"Hardin County",4080,69,55993,27365,28628,48723,3151,264,3003,139,50,56131,9217,6040,3194,2288,2721,826,39.3,8013,9896,10218,7926,10063,11406,1097,24056,46008,443,221,-11,-10,-23.0612244897959,-11.0555555555556,-16,6,728.662511385352,12.3229689425464,0.0169117647058824
"Harris County",286356,3825,4525519,2251060,2274459,1386576,838285,307109,1910535,8078,9681,57791,680347,452938,214604,214924,510028,158668,33.1,716309,972577,604775,685520,958079,670145,149192,2180392,3975632,79181,32750,-21,-11,-14,-40,-34,11,632.758364289267,8.45206925437723,0.0133574990571177
"Harrison County",3575,71,66606,32517,34089,42506,14192,468,8467,209,33,48644,11964,7369,2531,1499,4110,1098,37.7,10105,11311,11796,9575,11941,13492,2128,27603,51150,1022,169,-19,-5,-15,-11.0555555555556,-20,9,536.738431973096,10.6597003272978,0.0198601398601399
"Hays County",14460,130,194843,96973,97870,107718,6784,2503,73608,428,410,62815,27469,21983,10289,8304,16475,7393,31.3,30834,41893,26398,30931,40155,28794,5566,99069,175032,6293,1939,-19,-12,-34,-18,-39,15,742.135976144896,6.67203851305923,0.00899031811894882
"Henderson County",4434,106,79687,38840,40847,62894,5224,528,9668,684,33,44888,16458,9222,3043,1736,4610,1581,43.8,10619,12282,17350,9818,13023,19556,2043,31087,57643,1230,367,-15,-4,-23.0612244897959,-11.0555555555556,-19,8,556.427020718561,13.3020442481208,0.0239061795218764
"Hidalgo County",56455,2018,839539,410383,429156,55339,3522,7953,770794,593,202,37097,141637,59050,20374,11462,47569,18751,28.9,163853,156163,97557,159914,162310,116227,27566,313678,549543,15026,3580,-26,-16,-37,-23,-37,13,672.452381604666,24.0370012590243,0.0357452838543973
"Hill County",2398,47,35098,17374,17724,25038,2210,102,7017,85,5,45970,6756,3674,1487,757,2153,600,42.5,5133,5354,7544,4687,5622,8198,1293,14579,26252,661,195,-11,-2,-23.0612244897959,-12,-16,8,683.229813664596,13.3910764146105,0.0195996663886572
"Hockley County",2049,91,23273,11505,11768,11112,849,45,10921,131,8,49184,4088,2596,890,491,1761,300,33.4,4008,4074,3648,3723,4140,4232,827,10337,19198,248,205,-14,-10.86,-23.0612244897959,-11.0555555555556,-17,4,880.419370085507,39.1011042839342,0.0444119082479258
"Hood County",5050,85,55418,27199,28219,46999,384,446,6641,482,0,60275,9245,6485,3273,2524,3539,1098,46.8,7088,8135,13040,6665,8191,14747,712,22905,42485,1015,123,-15,-3,-23.0612244897959,-11.0555555555556,-23,8,911.256270525822,15.3379768306326,0.0168316831683168
"Hopkins County",2518,86,35929,17643,18286,26577,2390,254,5859,74,35,47832,6934,4013,1424,916,2547,847,39.6,5282,6019,6899,4942,6409,7569,967,15408,28284,530,296,-14,-5,-23.0612244897959,3,-13,5,700.826630298645,23.9360961897075,0.034154090548054
"Houston County",1360,30,22849,12274,10575,14155,5694,87,2439,36,35,33552,5540,2071,543,174,1292,889,44.6,2628,4799,5228,2443,3242,5320,359,7642,14136,289,75,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-18,8.93693693693694,595.212044290779,13.1296774475907,0.0220588235294118
"Howard County",4196,79,36491,20588,15903,18262,1891,288,15030,247,4,50855,5395,3549,1371,717,2466,595,36.7,5130,9132,6791,4481,6032,5836,1031,14393,27194,154,190,-27,-25,-23.0612244897959,-28,-29,9,1149.87257131896,21.6491737688745,0.0188274547187798
"Hunt County",4557,103,90322,44432,45890,65807,7044,1076,13837,716,51,49319,16072,9526,3806,2377,6161,2366,37.9,12835,16228,16744,12775,16170,18278,2690,38753,69992,1371,773,-12,-6,-23.0612244897959,5,-21,9,504.52824339585,11.4036447377162,0.0226025894228659
"Hutchinson County",1253,57,21704,10838,10866,15474,431,120,4887,286,6,50035,3897,2397,848,657,996,263,36.9,3308,3775,4037,3393,3660,4107,501,9149,17476,131,94,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-14,2,577.312937707335,26.2624401032068,0.0454908220271349
"Jack County",530,12,8839,4973,3866,6889,395,11,1439,33,12,52829,1439,911,491,234,373,62,40.6,1173,2173,1745,976,1347,1637,117,3160,5802,149,30,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-13,8.93693693693694,599.615341101935,13.576196402308,0.0226415094339623
"Jackson County",1284,23,14756,7214,7542,8765,1049,44,4760,0,0,58504,2131,1950,655,496,1014,347,39.2,2104,2483,2828,2226,2410,3158,332,6760,12514,283,98,-17.2477876106195,-10.86,-23.0612244897959,-10,-18,8.93693693693694,870.154513418271,15.5868799132556,0.0179127725856698
"Jasper County",1965,48,35444,17420,18024,26482,5929,180,2294,53,74,41960,6603,3455,1376,540,1809,336,40.4,4826,6038,7127,4816,5864,7899,1441,12541,22838,230,37,1,-3,-19,-11.0555555555556,-14,4,554.39566640334,13.5424895609976,0.0244274809160305
"Jefferson County",15937,263,254574,130404,124170,106135,85901,9264,49725,588,159,46315,50022,25686,11013,7299,24509,7593,36,36016,54647,42805,34480,45706,47747,7276,105319,200676,1631,710,-18,-12,-11,-21,-20,6,626.026224202,10.3309843110451,0.0165024785091297
"Jim Wells County",3417,70,41318,20134,21184,7556,214,231,33151,36,15,41103,7481,3726,1634,773,2394,780,34.5,6808,7238,6606,6605,7609,7494,919,16282,29902,506,410,-26,-8,-23.0612244897959,-11.0555555555556,-29,10,827.000338835374,16.9417687206544,0.0204858062628036
"Johnson County",14435,213,160173,79887,80286,117957,4506,1219,32475,664,91,60458,22276,19561,8779,4851,10652,2475,36.9,24640,30196,26984,23386,29531,29555,3736,72273,135221,2681,836,-14,-13,-22,-11.0555555555556,-22,8,901.213063375225,13.2981214062295,0.0147558018704538
"Jones County",2569,35,19969,12658,7311,10940,2892,59,5424,28,43,48601,2874,1763,547,451,933,156,38.6,2047,7142,3729,1889,2297,3421,220,5057,9306,139,135,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-23,8.93693693693694,1286.49406580199,17.527167109019,0.0136239782016349
"Karnes County",1387,26,15051,8960,6091,5684,1316,16,7965,15,0,53051,2086,1193,532,492,789,126,35.3,2054,4558,2517,1814,1920,2565,232,5433,10222,188,48,-27,-10.86,-23.0612244897959,-11.0555555555556,-26,8.93693693693694,921.533452926716,17.2745996943725,0.0187454938716655
"Kaufman County",11450,154,114852,56347,58505,76486,11926,1239,22817,491,166,63926,14211,11628,7004,3682,5905,1691,35.7,18408,21387,17934,17800,22281,19727,3674,53146,98791,1889,260,-14,-3,-23.0612244897959,1,-23,12,996.935186152614,13.4085605823146,0.0134497816593886
"Kendall County",1890,44,40306,19568,20738,29661,278,289,9285,12,0,81023,4115,3997,2652,2927,2733,755,42.4,5521,6449,8328,5384,6657,9387,858,18640,32317,1386,420,-26,-23,-23.0612244897959,-22,-27,12,468.91281695033,10.9164888602193,0.0232804232804233
"Kerr County",3020,61,50761,24563,26198,35478,719,494,13263,101,10,48698,10490,6581,2105,1404,4114,901,47.8,6232,7046,12351,5592,7608,14326,1374,21475,38928,953,390,-14,-20,-15,-11.0555555555556,-20,8,594.944938042986,12.0170997419279,0.0201986754966887
"Kimble County",227,6,4432,2140,2292,3295,1,0,1049,21,15,41095,1178,519,142,102,291,81,52.6,555,525,1189,430,569,1463,138,2027,3592,66,65,-17.2477876106195,-10.86,-23.0612244897959,-25,-22.6871794871795,8.93693693693694,512.184115523466,13.5379061371841,0.026431718061674
"Kleberg County",1981,63,31540,16290,15250,6618,1098,632,22819,40,45,41700,6376,2773,1160,649,3285,1149,27.9,5786,6521,4351,4680,6161,4860,1466,13683,24572,250,934,-13,-9,-25,-7,-33,10,628.091312618897,19.9746353836398,0.0318021201413428
"La Salle County",814,15,7418,4347,3071,1308,92,10,5928,0,0,44601,1368,532,90,296,287,66,33.9,1165,1856,1451,766,1117,1250,155,2716,4974,85,41,-17.2477876106195,-10.86,-23.0612244897959,-12,-22.6871794871795,8.93693693693694,1097.33081693179,20.2210838500944,0.0184275184275184
"Lamar County",4956,112,49401,23876,25525,37039,6093,437,3689,152,7,42198,10815,5358,1890,1022,4490,1386,40.4,6882,8360,9347,6627,8692,11071,1259,21134,38180,663,491,-13,4,-23.0612244897959,2,-15,6,1003.21855832878,22.6716058379385,0.0225988700564972
"Lamb County",1799,73,13368,6832,6536,5319,484,72,7347,39,0,43712,2724,1386,456,224,919,101,35.6,2350,2288,2359,1926,2192,2667,210,5671,10150,198,109,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-17,8.93693693693694,1345.75104727708,54.6080191502095,0.0405780989438577
"Lampasas County",913,17,20473,10144,10329,14916,621,226,3935,84,40,54467,3521,2566,989,672,1377,400,41.8,2853,3454,4164,2700,3456,4542,689,8612,16006,239,234,-21,-10.86,-23.0612244897959,-11.0555555555556,-23,9,445.953206662433,8.30361940116251,0.0186199342825849
"Lavaca County",1862,62,19859,9596,10263,14750,1312,74,3593,8,3,51708,3719,2274,923,768,1316,157,43.9,2657,2909,4399,2735,2939,5116,263,8843,16574,285,137,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-18,8.93693693693694,937.610151568558,31.2201017171056,0.033297529538131
"Lee County",1182,34,16850,8476,8374,10731,1853,144,3916,0,27,55741,2755,2096,779,488,698,283,41.3,2432,2779,3484,2196,2813,3612,372,7894,14170,518,122,-17,-10.86,-23.0612244897959,-11.0555555555556,-19,8.93693693693694,701.483679525223,20.1780415430267,0.0287648054145516
"Leon County",875,28,16966,8485,8481,12986,1218,126,2405,99,6,44875,3356,1691,776,422,905,195,44.7,2284,2508,4063,2086,2561,4209,500,6574,11072,321,263,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-19,8.93693693693694,515.737357067075,16.5035954261464,0.032
"Liberty County",5116,111,79884,39491,40393,52576,7972,454,17488,269,65,48344,13250,7969,3154,1601,4704,1118,35.8,11889,15226,13293,11371,15887,13907,2413,28685,53578,606,278,-6,13,-23.0612244897959,4,-16,7,640.428621501177,13.8951479645486,0.0216966379984363
"Limestone County",1420,34,23480,12071,11409,13905,4140,156,4994,66,50,40356,4808,2145,748,399,1335,364,39.5,3244,4628,4709,3034,3693,5046,1009,8824,16248,315,112,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-26,8.93693693693694,604.770017035775,14.4804088586031,0.023943661971831
"Live Oak County",967,16,12043,6548,5495,6941,293,78,4669,0,0,51480,1719,1113,474,280,307,115,42.3,1405,2728,2571,1354,1697,2632,169,4301,7738,243,75,-17.2477876106195,-10.86,-23.0612244897959,-19,-32,8.93693693693694,802.956074067923,13.2857261479698,0.0165460186142709
"Llano County",805,30,20195,9848,10347,17593,150,77,1983,28,1,50524,4295,2391,1071,924,1438,378,57.1,1801,2491,6174,1650,2352,7177,689,7660,12930,696,190,-17.2477876106195,-10.86,-8,-11.0555555555556,-16,6,398.613518197574,14.8551621688537,0.0372670807453416
"Lubbock County",45600,648,298042,147080,150962,162449,20465,6110,102770,1051,320,49078,55998,32546,12632,9099,31245,13212,30.7,47508,61658,40980,46345,59973,48433,7318,145154,270679,3626,2745,-11,-11,0,-30,-17,7,1529.98570671248,21.7419021480194,0.0142105263157895
