"county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","cases_per_10000","deaths_per_10000","death_per_case"
"Stephens County",629,19,9365,4826,4539,6756,204,44,2176,58,20,45862,1862,961,329,209,491,71,39.2,1330,1807,1821,1099,1457,2117,182,3730,6798,84,55,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-13,8.93693693693694,671.649759743727,20.2883075280299,0.0302066772655008
"Swisher County",682,14,7541,3955,3586,3584,429,14,3253,41,13,37883,1683,703,139,77,521,182,35.6,1140,1519,1408,1031,1148,1562,170,2704,4628,115,85,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-12,8.93693693693694,904.389338284047,18.5651770322238,0.0205278592375367
"Tarrant County",195518,1798,1983675,971142,1012533,959103,308577,100560,559025,5443,3539,62532,272261,222134,105868,89658,200414,56570,34.2,310804,397838,283017,301525,412210,318941,55237,974947,1787572,41118,11867,-24,-12,-16,-42,-34,12,985.635247709428,9.06398477573191,0.00919608424799763
"Taylor County",13275,263,135371,66258,69113,87366,10018,2612,32219,670,192,49161,24976,15069,6137,3261,14368,4107,32.2,21039,26454,20226,20282,26376,24303,2917,62872,120936,3142,1423,-15,-8,-23.0612244897959,11,-20,7,980.638393747553,19.4280902113451,0.0198116760828625
"Terry County",1475,46,12755,6753,6002,5203,592,0,6858,31,0,42441,2331,1233,358,220,782,212,34.6,2161,2639,2084,1858,1995,2295,474,4556,8468,120,48,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-18,8.93693693693694,1156.40925127401,36.0642885143081,0.0311864406779661
"Titus County",3137,60,32664,16055,16609,15121,2970,253,13749,75,13,46980,5643,3363,1077,592,2754,483,34,5644,5713,5070,5415,6008,5601,935,14307,27018,240,83,-6,0,-23.0612244897959,-11.0555555555556,-22,7,960.384521185403,18.3688464364438,0.0191265540325151
"Tom Green County",11547,204,116906,57848,59058,63505,4682,1338,45407,215,137,49662,21675,13279,4820,3307,11588,2915,34,17408,23102,18837,16795,21934,22320,2114,53414,100395,2036,2268,-23,-19,-38,-11.0555555555556,-25,9,987.716627033685,17.4499170273553,0.0176669264744089
"Travis County",61468,626,1176584,593319,583265,580292,92653,74442,398398,1875,2250,68350,163905,135787,71493,76376,156595,47652,33.6,160894,290335,152380,154487,273210,164530,30087,645807,1109572,53160,12246,-36,-19,-51,-61,-49,20,522.427637975699,5.32048710504307,0.0101841608641895
"Trinity County",503,12,14481,6959,7522,11454,1382,52,1347,44,0,37398,3910,1384,372,268,787,212,48.5,1707,1990,3560,1709,2091,4187,562,4946,8854,237,84,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-14,8.93693693693694,347.351702230509,8.28672053035011,0.0238568588469185
"Tyler County",999,19,21456,11726,9730,17081,2313,73,1564,21,62,44396,3976,2157,752,427,530,315,43,2943,4571,4546,2102,3005,5136,709,6746,11772,325,67,-17.2477876106195,-10.86,-23.0612244897959,-11.0555555555556,-9,8.93693693693694,465.604026845638,8.85533184190902,0.019019019019019
"Upshur County",2595,42,40506,20035,20471,32704,3611,91,3263,298,136,48796,7186,4206,1902,767,2112,508,40.7,5819,6707,8058,5340,6847,9066,1515,16720,30576,650,109,-13,-10.86,-23.0612244897959,-11.0555555555556,-19,7,640.645830247371,10.3688342467783,0.0161849710982659
"Uvalde County",2733,48,27015,13188,13827,7325,40,275,19158,108,0,40781,5061,2504,728,331,1401,404,33.8,4312,4813,4344,4550,4625,5058,726,11605,21454,333,123,-23,-10.86,-23.0612244897959,-11.0555555555556,-30,8,1011.66018878401,17.7679067184897,0.017563117453348
"Val Verde County",6331,158,48976,24836,24140,7811,534,269,39855,64,0,44609,8417,4081,1815,876,4205,815,31.7,8721,9633,7150,7908,8770,8173,1323,18667,35556,695,598,-30,-22,-16,-11.0555555555556,-39,12,1292.67396275727,32.2606991179353,0.0249565629442426
"Van Zandt County",3154,77,53607,26307,27300,45206,1406,249,5510,294,22,50061,9659,6001,2386,1308,3019,682,43.3,7276,8488,11339,7011,8749,12508,1407,22384,40470,1405,218,-15,-6,-29,-8,-20,8,588.355998283806,14.3637957729401,0.0244134432466709
"Victoria County",6672,134,91518,44790,46728,41590,5331,971,42139,137,171,55740,14720,9853,5071,3090,8439,2057,35.7,13907,16616,15525,13346,16815,17776,2299,43077,80036,1744,336,-18,-7,-23.0612244897959,22,-19,6,729.036910771651,14.6419283638191,0.020083932853717
"Walker County",7008,93,70818,41435,29383,40319,16198,859,12584,245,28,41456,12317,5965,2016,996,5423,2913,35.2,8404,21148,12553,8617,11448,9992,836,24044,43218,900,938,-6,0,-50,5,-26,6,989.578920613403,13.1322545115649,0.0132705479452055
"Waller County",2659,27,48443,24209,24234,20853,12041,351,14230,36,66,53506,6953,4282,1944,1519,3044,1193,28.8,8542,9004,7125,8967,8279,7314,1836,21837,38502,941,824,-11,0,-23.0612244897959,11,-22,9,548.892512850154,5.57356067956155,0.010154193305754
"Ward County",953,13,11498,5790,5708,4758,553,32,6001,64,15,63333,1541,1604,464,345,758,195,33.6,1840,2345,1805,1805,2028,2079,312,4823,8682,195,70,-40,-44,-23.0612244897959,56,-31,8.93693693693694,828.839798225778,11.3063141415898,0.0136411332633788
"Washington County",1668,69,34667,17199,17468,22344,5882,612,5372,93,0,55793,5599,4136,1475,995,1834,516,42,5249,5183,7350,4532,5425,7984,979,14897,27982,523,147,-11,-4,-23.0612244897959,-11.0555555555556,-20,8,481.149219719041,19.9036547725503,0.0413669064748201
"Webb County",34690,513,269624,131657,137967,9382,736,1343,257482,154,175,40442,42455,18346,7535,4043,15818,6546,28.4,53830,51032,28761,52437,52720,35079,6156,102713,190495,2690,1699,-31,-20,-59,-30,-35,14,1286.60653354301,19.0264961576121,0.0147881233784952
"Wharton County",2988,84,41430,20355,21075,18756,5725,38,16682,28,33,50145,7580,4681,1786,1177,3316,860,37.3,6219,7187,7467,6350,6935,8483,1044,18767,35550,503,97,-13,-5,-23.0612244897959,-4,-20,6,721.216509775525,20.2751629254164,0.0281124497991968
"Wichita County",13325,260,131778,68339,63439,87142,13018,2668,24423,773,477,45776,26169,14729,4930,2700,13020,4295,34.2,21003,27699,21134,17304,23593,24411,2788,55552,104546,2408,4607,-15,-14,-23.0612244897959,6,-16,6,1011.17030156779,19.7301522257129,0.0195121951219512
